a	 a_0
troàn	ts\ w a_1 n
troàng	ts\ w a_1 N
troành	ts\ w a_1 N_+ 
troào	ts\ w a_1 O
troày	ts\ w a_X_1 i 
troá	ts\ w a_4
troác	ts\ w a_4 k
troách	ts\ w a_4 k_+ 
troái	ts\ w a_4 i
troám	ts\ w a_4 m
troán	ts\ w a_4 n
troáng	ts\ w a_4 N
troánh	ts\ w a_4 N_+ 
troáo	ts\ w a_4 O
troáp	ts\ w a_4 p
troát	ts\ w a_4 t
troáy	ts\ w a_X_4 i 
troã	ts\ w a_3
troãi	ts\ w a_3 i
troãm	ts\ w a_3 m
troãn	ts\ w a_3 n
troãng	ts\ w a_3 N
troãnh	ts\ w a_3 N_+ 
troão	ts\ w a_3 O
troãy	ts\ w a_X_3 i 
troè	ts\ w E_1
troèm	ts\ w E_1 m
troèn	ts\ w E_1 n
troèo	ts\ w E_1 O
troé	ts\ w E_4
troém	ts\ w E_4 m
troén	ts\ w E_4 n
troéo	ts\ w E_4 O
troét	ts\ w E_4 t
troòng	ts\ O O_1 N
troóc	ts\ O O_4 k
troóng	ts\ O O_4 N
troõng	ts\ O O_3 N
troạ	ts\ w a_5
troả	ts\ w a_2
troẹ	ts\ w E_5
troẻ	ts\ w E_2
troẽ	ts\ w E_3
troạc	ts\ w a_5 k
troắc	ts\ w a_X_4 k
troặc	ts\ w a_X_5 k
troọc	ts\ O O_5 k
troạch	ts\ w a_5 k_+ 
troại	ts\ w a_5 i
troải	ts\ w a_2 i
troăm	ts\ w a_X_0 m
troạm	ts\ w a_5 m
troảm	ts\ w a_2 m
troắm	ts\ w a_X_4 m
troằm	ts\ w a_X_1 m
troẳm	ts\ w a_X_2 m
troẵm	ts\ w a_X_3 m
troặm	ts\ w a_X_5 m
troẹm	ts\ w E_5 m
troẻm	ts\ w E_2 m
troẽm	ts\ w E_3 m
troăn	ts\ w a_X_0 n
troạn	ts\ w a_5 n
troản	ts\ w a_2 n
troắn	ts\ w a_X_4 n
troằn	ts\ w a_X_1 n
troẳn	ts\ w a_X_2 n
troẵn	ts\ w a_X_3 n
troặn	ts\ w a_X_5 n
troẹn	ts\ w E_5 n
troẻn	ts\ w E_2 n
troẽn	ts\ w E_3 n
troăng	ts\ w a_X_0 N
troạng	ts\ w a_5 N
troảng	ts\ w a_2 N
troắng	ts\ w a_X_4 N
troằng	ts\ w a_X_1 N
troẳng	ts\ w a_X_2 N
troẵng	ts\ w a_X_3 N
troặng	ts\ w a_X_5 N
troọng	ts\ O O_5 N
troỏng	ts\ O O_2 N
troạnh	ts\ w a_5 N_+ 
troảnh	ts\ w a_2 N_+ 
troạo	ts\ w a_5 O
troảo	ts\ w a_2 O
troẹo	ts\ w E_5 O
troẻo	ts\ w E_2 O
troẽo	ts\ w E_3 O
troạp	ts\ w a_5 p
troạt	ts\ w a_5 t
troắt	ts\ w a_X_4 t
troặt	ts\ w a_X_5 t
troẹt	ts\ w E_5 t
troạy	ts\ w a_X_5 i 
troảy	ts\ w a_X_2 i 
tru	ts\ u_0
trua	ts\ u@_0
trui	ts\ u_0 i
trum	ts\ u_0 m
trun	ts\ u_0 n
trung	ts\ u_0 Nm 
truy	ts\ w i_0
truya	ts\ w i@_0
truyn	ts\ w i_0 n
truynh	ts\ w i_0 J
truyu	ts\ w i_0 u
truyên	ts\ w i@_0 n
truyến	ts\ w i@_4 n
truyền	ts\ w i@_1 n
truyển	ts\ w i@_2 n
truyễn	ts\ w i@_3 n
truyện	ts\ w i@_5 n
truyết	ts\ w i@_4 t
truyệt	ts\ w i@_5 t
truân	ts\ u 7_X_0 n
truâng	ts\ u 7_X_0 N
truây	ts\ u 7_X_0 i_0
truê	ts\ w e_0
truênh	ts\ w e_0 N_+ 
truôi	ts\ u@_0 i
truôm	ts\ u@_0 m
truôn	ts\ u@_0 n
truông	ts\ u@_0 N
truý	ts\ w i_4
truýa	ts\ w i@_4
truých	ts\ w i_4 k
truýn	ts\ w i_4 n
truýnh	ts\ w i_4 J
truýp	ts\ w i_4 p
truýt	ts\ w i_4 t
truýu	ts\ w i_4 u
truơ	ts\ u_0 7
truế	ts\ w e_4
truề	ts\ w e_1
truể	ts\ w e_2
truễ	ts\ w e_3
truệ	ts\ w e_5
truớ	ts\ u 7_4
truờ	ts\ u 7_1
truở	ts\ u 7_2
truỡ	ts\ u 7_3
truợ	ts\ u 7_5
truỳ	ts\ w i_1
truỵ	ts\ w i_5
truỷ	ts\ w i_2
truỹ	ts\ w i_3
truỳa	ts\ w i@_1
truỵa	ts\ w i@_5
truỷa	ts\ w i@_2
truỹa	ts\ w i@_3
truốc	ts\ u@_4 k
truộc	ts\ u@_5 k
truếch	ts\ w e_4 k_+ 
truệch	ts\ w e_5 k_+ 
truỵch	ts\ w i_5 k
truối	ts\ u@_4 i
truồi	ts\ u@_1 i
truổi	ts\ u@_2 i
truỗi	ts\ u@_3 i
truội	ts\ u@_5 i
truốm	ts\ u@_4 m
truồm	ts\ u@_1 m
truổm	ts\ u@_2 m
truỗm	ts\ u@_3 m
truộm	ts\ u@_5 m
truấn	ts\ u 7_X_4 n
truần	ts\ u 7_X_1 n
truẩn	ts\ u 7_X_2 n
truẫn	ts\ u 7_X_3 n
truận	ts\ u 7_X_5 n
truốn	ts\ u@_4 n
truồn	ts\ u@_1 n
truổn	ts\ u@_2 n
truỗn	ts\ u@_3 n
truộn	ts\ u@_5 n
truỳn	ts\ w i_1 n
truỵn	ts\ w i_5 n
truỷn	ts\ w i_2 n
truỹn	ts\ w i_3 n
truấng	ts\ u 7_X_4 N
truầng	ts\ u 7_X_1 N
truẩng	ts\ u 7_X_2 N
truẫng	ts\ u 7_X_3 N
truậng	ts\ u 7_X_5 N
truống	ts\ u@_4 N
truồng	ts\ u@_1 N
truổng	ts\ u@_2 N
truỗng	ts\ u@_3 N
truộng	ts\ u@_5 N
truếnh	ts\ w e_4 N_+ 
truềnh	ts\ w e_1 N_+ 
truểnh	ts\ w e_2 N_+ 
truễnh	ts\ w e_3 N_+ 
truệnh	ts\ w e_5 N_+ 
truỳnh	ts\ w i_1 J
truỵnh	ts\ w i_5 J
truỷnh	ts\ w i_2 J
truỹnh	ts\ w i_3 J
truốp	ts\ u@_4 p
truộp	ts\ u@_5 p
truỵp	ts\ w i_5 p
truất	ts\ u 7_X_4 t
truật	ts\ u 7_X_5 t
truốt	ts\ u@_4 t
truột	ts\ u@_5 t
truỵt	ts\ w i_5 t
truỳu	ts\ w i_1 u
truỵu	ts\ w i_5 u
truỷu	ts\ w i_2 u
truỹu	ts\ w i_3 u
truấy	ts\ u 7_X_4 i
truầy	ts\ u 7_X_1 i
truẩy	ts\ u 7_X_2 i
truẫy	ts\ u 7_X_3 i
truậy	ts\ u 7_X_5 i
try	ts\ i_0
trà	ts\ a_1
trài	ts\ a_1 i
tràm	ts\ a_1 m
tràn	ts\ a_1 n
tràng	ts\ a_1 N
trành	ts\ a_1 N_+ 
trào	ts\ a_1 O
tràu	ts\ a_X_1 u 
trày	ts\ a_X_1 i 
trá	ts\ a_4
trác	ts\ a_4 k
trách	ts\ a_4 k_+ 
trái	ts\ a_4 i
trám	ts\ a_4 m
trán	ts\ a_4 n
tráng	ts\ a_4 N
tránh	ts\ a_4 N_+ 
tráo	ts\ a_4 O
tráp	ts\ a_4 p
trát	ts\ a_4 t
tráu	ts\ a_X_4 u 
tráy	ts\ a_X_4 i 
trâm	ts\ 7_X_0 m
trân	ts\ 7_X_0 n
trâng	ts\ 7_X_0 N
trâu	ts\ 7_X_0 u
trây	ts\ 7_X_0 i
trã	ts\ a_3
trãi	ts\ a_3 i
trãm	ts\ a_3 m
trãn	ts\ a_3 n
trãng	ts\ a_3 N
trãnh	ts\ a_3 N_+ 
trão	ts\ a_3 O
trãu	ts\ a_X_3 u 
trãy	ts\ a_X_3 i 
trè	ts\ E_1
trèm	ts\ E_1 m
trèn	ts\ E_1 n
trèng	ts\ E_1 N
trèo	ts\ E_1 O
tré	ts\ E_4
tréc	ts\ E_4 k
trém	ts\ E_4 m
trén	ts\ E_4 n
tréng	ts\ E_4 N
tréo	ts\ E_4 O
trép	ts\ E_4 p
trét	ts\ E_4 t
trê	ts\ e_0
trêm	ts\ e_0 m
trên	ts\ e_0 n
trênh	ts\ e_0 N_+ 
trêu	ts\ e_0 u
trì	ts\ i_1
trìa	ts\ i@_1
trìm	ts\ i_1 m
trìn	ts\ i_1 n
trình	ts\ i_1 N_+ 
trìu	ts\ i_1 u
trí	ts\ i_4
tría	ts\ i@_4
trích	ts\ i_4 k_+ 
trím	ts\ i_4 m
trín	ts\ i_4 n
trính	ts\ i_4 N_+ 
tríp	ts\ i_4 p
trít	ts\ i_4 t
tríu	ts\ i_4 u
trò	ts\ O_1
tròi	ts\ O_1 i
tròm	ts\ O_1 m
tròn	ts\ O_1 n
tròng	ts\ O_1 Nm 
tró	ts\ O_4
tróc	ts\ kp_4 kp 
trói	ts\ O_4 i
tróm	ts\ O_4 m
trón	ts\ O_4 n
tróng	ts\ O_X_4 Nm 
tróp	ts\ O_4 p
trót	ts\ O_4 t
trô	ts\ o_0
trôi	ts\ o_0 i
trôm	ts\ o_0 m
trôn	ts\ o_0 n
trông	ts\ o_0 Nm 
trõ	ts\ O_3
trõi	ts\ O_3 i
trõm	ts\ O_3 m
trõn	ts\ O_3 n
trõng	ts\ O_3 Nm 
trù	ts\ u_1
trùa	ts\ u@_1
trùi	ts\ u_1 i
trùm	ts\ u_1 m
trùn	ts\ u_1 n
trùng	ts\ u_1 Nm 
trú	ts\ u_4
trúa	ts\ u@_4
trúc	ts\ u_4 kp 
trúi	ts\ u_4 i
trúm	ts\ u_4 m
trún	ts\ u_4 n
trúng	ts\ u_4 Nm 
trúp	ts\ u_4 p
trút	ts\ u_4 t
trý	ts\ i_4
trĩ	ts\ i_3
trũ	ts\ u_3
trơ	ts\ 7_0
trư	ts\ M_0
trạ	ts\ a_5
trả	ts\ a_2
trẹ	ts\ E_5
trẻ	ts\ E_2
trẽ	ts\ E_3
trế	ts\ e_4
trề	ts\ e_1
trể	ts\ e_2
trễ	ts\ e_3
trệ	ts\ e_5
trỉ	ts\ i_2
trị	ts\ i_5
trọ	ts\ O_5
trỏ	ts\ O_2
trố	ts\ o_4
trồ	ts\ o_1
trổ	ts\ o_2
trỗ	ts\ o_3
trộ	ts\ o_5
trớ	ts\ 7_4
trờ	ts\ 7_1
trở	ts\ 7_2
trỡ	ts\ 7_3
trợ	ts\ 7_5
trụ	ts\ u_5
trủ	ts\ u_2
trứ	ts\ M_4
trừ	ts\ M_1
trử	ts\ M_2
trữ	ts\ M_3
trự	ts\ M_5
trỳ	ts\ i_1
trỵ	ts\ i_5
trỷ	ts\ i_2
trỹ	ts\ i_3
trĩa	ts\ i@_3
trũa	ts\ u@_3
trưa	ts\ M@_0
trỉa	ts\ i@_2
trịa	ts\ i@_5
trụa	ts\ u@_5
trủa	ts\ u@_2
trứa	ts\ M@_4
trừa	ts\ M@_1
trửa	ts\ M@_2
trữa	ts\ M@_3
trựa	ts\ M@_5
trạc	ts\ a_5 k
trấc	ts\ 7_X_4 k
trậc	ts\ 7_X_5 k
trắc	ts\ a_X_4 k
trặc	ts\ a_X_5 k
trẹc	ts\ E_5 k
trọc	ts\ kp_5 kp 
trốc	ts\ o_4 kp 
trộc	ts\ o_5 kp 
trục	ts\ u_5 kp 
trức	ts\ M_4 k
trực	ts\ M_5 k
trạch	ts\ a_5 k_+ 
trếch	ts\ e_4 k_+ 
trệch	ts\ e_5 k_+ 
trịch	ts\ i_5 k_+ 
trũi	ts\ u_3 i
trơi	ts\ 7_0 i
trưi	ts\ M_0 i
trại	ts\ a_5 i
trải	ts\ a_2 i
trọi	ts\ O_5 i
trỏi	ts\ O_2 i
trối	ts\ o_4 i
trồi	ts\ o_1 i
trổi	ts\ o_2 i
trỗi	ts\ o_3 i
trội	ts\ o_5 i
trới	ts\ 7_4 i
trời	ts\ 7_1 i
trởi	ts\ 7_2 i
trỡi	ts\ 7_3 i
trợi	ts\ 7_5 i
trụi	ts\ u_5 i
trủi	ts\ u_2 i
trứi	ts\ M_4 i
trừi	ts\ M_1 i
trửi	ts\ M_2 i
trữi	ts\ M_3 i
trựi	ts\ M_5 i
trăm	ts\ a_X_0 m
trĩm	ts\ i_3 m
trũm	ts\ u_3 m
trơm	ts\ 7_0 m
trưm	ts\ M_0 m
trạm	ts\ a_5 m
trảm	ts\ a_2 m
trấm	ts\ 7_X_4 m
trầm	ts\ 7_X_1 m
trẩm	ts\ 7_X_2 m
trẫm	ts\ 7_X_3 m
trậm	ts\ 7_X_5 m
trắm	ts\ a_X_4 m
trằm	ts\ a_X_1 m
trẳm	ts\ a_X_2 m
trẵm	ts\ a_X_3 m
trặm	ts\ a_X_5 m
trẹm	ts\ E_5 m
trẻm	ts\ E_2 m
trẽm	ts\ E_3 m
trếm	ts\ e_4 m
trềm	ts\ e_1 m
trểm	ts\ e_2 m
trễm	ts\ e_3 m
trệm	ts\ e_5 m
trỉm	ts\ i_2 m
trịm	ts\ i_5 m
trọm	ts\ O_5 m
trỏm	ts\ O_2 m
trốm	ts\ o_4 m
trồm	ts\ o_1 m
trổm	ts\ o_2 m
trỗm	ts\ o_3 m
trộm	ts\ o_5 m
trớm	ts\ 7_4 m
trờm	ts\ 7_1 m
trởm	ts\ 7_2 m
trỡm	ts\ 7_3 m
trợm	ts\ 7_5 m
trụm	ts\ u_5 m
trủm	ts\ u_2 m
trứm	ts\ M_4 m
trừm	ts\ M_1 m
trửm	ts\ M_2 m
trữm	ts\ M_3 m
trựm	ts\ M_5 m
trăn	ts\ a_X_0 n
trĩn	ts\ i_3 n
trũn	ts\ u_3 n
trơn	ts\ 7_0 n
trưn	ts\ M_0 n
trạn	ts\ a_5 n
trản	ts\ a_2 n
trấn	ts\ 7_X_4 n
trần	ts\ 7_X_1 n
trẩn	ts\ 7_X_2 n
trẫn	ts\ 7_X_3 n
trận	ts\ 7_X_5 n
trắn	ts\ a_X_4 n
trằn	ts\ a_X_1 n
trẳn	ts\ a_X_2 n
trẵn	ts\ a_X_3 n
trặn	ts\ a_X_5 n
trẹn	ts\ E_5 n
trẻn	ts\ E_2 n
trẽn	ts\ E_3 n
trến	ts\ e_4 n
trền	ts\ e_1 n
trển	ts\ e_2 n
trễn	ts\ e_3 n
trện	ts\ e_5 n
trỉn	ts\ i_2 n
trịn	ts\ i_5 n
trọn	ts\ O_5 n
trỏn	ts\ O_2 n
trốn	ts\ o_4 n
trồn	ts\ o_1 n
trổn	ts\ o_2 n
trỗn	ts\ o_3 n
trộn	ts\ o_5 n
trớn	ts\ 7_4 n
trờn	ts\ 7_1 n
trởn	ts\ 7_2 n
trỡn	ts\ 7_3 n
trợn	ts\ 7_5 n
trụn	ts\ u_5 n
trủn	ts\ u_2 n
trứn	ts\ M_4 n
trừn	ts\ M_1 n
trửn	ts\ M_2 n
trữn	ts\ M_3 n
trựn	ts\ M_5 n
trăng	ts\ a_X_0 N
trũng	ts\ u_3 Nm 
trưng	ts\ M_0 N
trạng	ts\ a_5 N
trảng	ts\ a_2 N
trấng	ts\ 7_X_4 N
trầng	ts\ 7_X_1 N
trẩng	ts\ 7_X_2 N
trẫng	ts\ 7_X_3 N
trậng	ts\ 7_X_5 N
trắng	ts\ a_X_4 N
trằng	ts\ a_X_1 N
trẳng	ts\ a_X_2 N
trẵng	ts\ a_X_3 N
trặng	ts\ a_X_5 N
trẹng	ts\ E_5 N
trẻng	ts\ E_2 N
trẽng	ts\ E_3 N
trọng	ts\ O_5 Nm 
trỏng	ts\ O_2 Nm 
trống	ts\ o_4 Nm 
trồng	ts\ o_1 Nm 
trổng	ts\ o_2 Nm 
trỗng	ts\ o_3 Nm 
trộng	ts\ o_5 Nm 
trụng	ts\ u_5 Nm 
trủng	ts\ u_2 Nm 
trứng	ts\ M_4 N
trừng	ts\ M_1 N
trửng	ts\ M_2 N
trững	ts\ M_3 N
trựng	ts\ M_5 N
trĩnh	ts\ i_3 N_+ 
trạnh	ts\ a_5 N_+ 
trảnh	ts\ a_2 N_+ 
trếnh	ts\ e_4 N_+ 
trềnh	ts\ e_1 N_+ 
trểnh	ts\ e_2 N_+ 
trễnh	ts\ e_3 N_+ 
trệnh	ts\ e_5 N_+ 
trỉnh	ts\ i_2 N_+ 
trịnh	ts\ i_5 N_+ 
trạo	ts\ a_5 O
trảo	ts\ a_2 O
trẹo	ts\ E_5 O
trẻo	ts\ E_2 O
trẽo	ts\ E_3 O
trạp	ts\ a_5 p
trấp	ts\ 7_X_4 p
trập	ts\ 7_X_5 p
trắp	ts\ a_X_4 p
trặp	ts\ a_X_5 p
trẹp	ts\ E_5 p
trếp	ts\ e_4 p
trệp	ts\ e_5 p
trịp	ts\ i_5 p
trọp	ts\ O_5 p
trốp	ts\ o_4 p
trộp	ts\ o_5 p
trớp	ts\ 7_4 p
trợp	ts\ 7_5 p
trụp	ts\ u_5 p
trạt	ts\ a_5 t
trất	ts\ 7_X_4 t
trật	ts\ 7_X_5 t
trắt	ts\ a_X_4 t
trặt	ts\ a_X_5 t
trẹt	ts\ E_5 t
trết	ts\ e_4 t
trệt	ts\ e_5 t
trịt	ts\ i_5 t
trọt	ts\ O_5 t
trốt	ts\ o_4 t
trột	ts\ o_5 t
trớt	ts\ 7_4 t
trợt	ts\ 7_5 t
trụt	ts\ u_5 t
trứt	ts\ M_4 t
trựt	ts\ M_5 t
trĩu	ts\ i_3 u
trưu	ts\ M_0 u
trạu	ts\ a_X_5 u 
trảu	ts\ a_X_2 u 
trấu	ts\ 7_X_4 u
trầu	ts\ 7_X_1 u
trẩu	ts\ 7_X_2 u
trẫu	ts\ 7_X_3 u
trậu	ts\ 7_X_5 u
trếu	ts\ e_4 u
trều	ts\ e_1 u
trểu	ts\ e_2 u
trễu	ts\ e_3 u
trệu	ts\ e_5 u
trỉu	ts\ i_2 u
trịu	ts\ i_5 u
trứu	ts\ M_4 u
trừu	ts\ M_1 u
trửu	ts\ M_2 u
trữu	ts\ M_3 u
trựu	ts\ M_5 u
trạy	ts\ a_X_5 i 
trảy	ts\ a_X_2 i 
trấy	ts\ 7_X_4 i
trầy	ts\ 7_X_1 i
trẩy	ts\ 7_X_2 i
trẫy	ts\ 7_X_3 i
trậy	ts\ 7_X_5 i
trước	ts\ M@_4 k
trược	ts\ M@_5 k
trươi	ts\ M@_0 i
trưới	ts\ M@_4 i
trười	ts\ M@_1 i
trưởi	ts\ M@_2 i
trưỡi	ts\ M@_3 i
trượi	ts\ M@_5 i
trươm	ts\ M@_0 m
trướm	ts\ M@_4 m
trườm	ts\ M@_1 m
trưởm	ts\ M@_2 m
trưỡm	ts\ M@_3 m
trượm	ts\ M@_5 m
trươn	ts\ M@_0 n
trướn	ts\ M@_4 n
trườn	ts\ M@_1 n
trưởn	ts\ M@_2 n
trưỡn	ts\ M@_3 n
trượn	ts\ M@_5 n
trương	ts\ M@_0 N
trướng	ts\ M@_4 N
trường	ts\ M@_1 N
trưởng	ts\ M@_2 N
trưỡng	ts\ M@_3 N
trượng	ts\ M@_5 N
trướp	ts\ M@_4 p
trượp	ts\ M@_5 p
trướt	ts\ M@_4 t
trượt	ts\ M@_5 t
trươu	ts\ M@_0 u
trướu	ts\ M@_4 u
trườu	ts\ M@_1 u
trưởu	ts\ M@_2 u
trưỡu	ts\ M@_3 u
trượu	ts\ M@_5 u
tu	t u_0
tua	t u@_0
tui	t u_0 i
tum	t u_0 m
tun	t u_0 n
tung	t u_0 Nm 
tuy	t w i_0
tuya	t w i@_0
tuyn	t w i_0 n
tuynh	t w i_0 J
tuyu	t w i_0 u
tuyên	t w i@_0 n
tuyến	t w i@_4 n
tuyền	t w i@_1 n
tuyển	t w i@_2 n
tuyễn	t w i@_3 n
tuyện	t w i@_5 n
tuyết	t w i@_4 t
tuyệt	t w i@_5 t
tuân	t u 7_X_0 n
tuâng	t u 7_X_0 N
tuây	t u 7_X_0 i_0
tuê	t w e_0
tuênh	t w e_0 N_+ 
tuôi	t u@_0 i
tuôm	t u@_0 m
tuôn	t u@_0 n
tuông	t u@_0 N
tuý	t w i_4
tuýa	t w i@_4
tuých	t w i_4 k
tuýn	t w i_4 n
tuýnh	t w i_4 J
tuýp	t w i_4 p
tuýt	t w i_4 t
tuýu	t w i_4 u
tuơ	t u_0 7
tuế	t w e_4
tuề	t w e_1
tuể	t w e_2
tuễ	t w e_3
tuệ	t w e_5
tuớ	t u 7_4
tuờ	t u 7_1
tuở	t u 7_2
tuỡ	t u 7_3
tuợ	t u 7_5
tuỳ	t w i_1
tuỵ	t w i_5
tuỷ	t w i_2
tuỹ	t w i_3
tuỳa	t w i@_1
tuỵa	t w i@_5
tuỷa	t w i@_2
tuỹa	t w i@_3
tuốc	t u@_4 k
tuộc	t u@_5 k
tuếch	t w e_4 k_+ 
tuệch	t w e_5 k_+ 
tuỵch	t w i_5 k
tuối	t u@_4 i
tuồi	t u@_1 i
tuổi	t u@_2 i
tuỗi	t u@_3 i
tuội	t u@_5 i
tuốm	t u@_4 m
tuồm	t u@_1 m
tuổm	t u@_2 m
tuỗm	t u@_3 m
tuộm	t u@_5 m
tuấn	t u 7_X_4 n
tuần	t u 7_X_1 n
tuẩn	t u 7_X_2 n
tuẫn	t u 7_X_3 n
tuận	t u 7_X_5 n
tuốn	t u@_4 n
tuồn	t u@_1 n
tuổn	t u@_2 n
tuỗn	t u@_3 n
tuộn	t u@_5 n
tuỳn	t w i_1 n
tuỵn	t w i_5 n
tuỷn	t w i_2 n
tuỹn	t w i_3 n
tuấng	t u 7_X_4 N
tuầng	t u 7_X_1 N
tuẩng	t u 7_X_2 N
tuẫng	t u 7_X_3 N
tuậng	t u 7_X_5 N
tuống	t u@_4 N
tuồng	t u@_1 N
tuổng	t u@_2 N
tuỗng	t u@_3 N
tuộng	t u@_5 N
tuếnh	t w e_4 N_+ 
tuềnh	t w e_1 N_+ 
tuểnh	t w e_2 N_+ 
tuễnh	t w e_3 N_+ 
tuệnh	t w e_5 N_+ 
tuỳnh	t w i_1 J
tuỵnh	t w i_5 J
tuỷnh	t w i_2 J
tuỹnh	t w i_3 J
tuốp	t u@_4 p
tuộp	t u@_5 p
tuỵp	t w i_5 p
tuất	t u 7_X_4 t
tuật	t u 7_X_5 t
tuốt	t u@_4 t
tuột	t u@_5 t
tuỵt	t w i_5 t
tuỳu	t w i_1 u
tuỵu	t w i_5 u
tuỷu	t w i_2 u
tuỹu	t w i_3 u
tuấy	t u 7_X_4 i
tuầy	t u 7_X_1 i
tuẩy	t u 7_X_2 i
tuẫy	t u 7_X_3 i
tuậy	t u 7_X_5 i
ty	t i_0
tà	t a_1
tài	t a_1 i
tàm	t a_1 m
tàn	t a_1 n
tàng	t a_1 N
tành	t a_1 N_+ 
tào	t a_1 O
tàu	t a_X_1 u 
tày	t a_X_1 i 
tá	t a_4
tác	t a_4 k
tách	t a_4 k_+ 
tái	t a_4 i
tám	t a_4 m
tán	t a_4 n
táng	t a_4 N
tánh	t a_4 N_+ 
táo	t a_4 O
táp	t a_4 p
tát	t a_4 t
táu	t a_X_4 u 
táy	t a_X_4 i 
tâm	t 7_X_0 m
tân	t 7_X_0 n
tâng	t 7_X_0 N
tâu	t 7_X_0 u
tây	t 7_X_0 i
tã	t a_3
tãi	t a_3 i
tãm	t a_3 m
tãn	t a_3 n
tãng	t a_3 N
tãnh	t a_3 N_+ 
tão	t a_3 O
tãu	t a_X_3 u 
tãy	t a_X_3 i 
tè	t E_1
tèm	t E_1 m
tèn	t E_1 n
tèng	t E_1 N
tèo	t E_1 O
té	t E_4
téc	t E_4 k
tém	t E_4 m
tén	t E_4 n
téng	t E_4 N
téo	t E_4 O
tép	t E_4 p
tét	t E_4 t
tê	t e_0
têm	t e_0 m
tên	t e_0 n
tênh	t e_0 N_+ 
têu	t e_0 u
tì	t i_1
tìa	t i@_1
tìm	t i_1 m
tìn	t i_1 n
tình	t i_1 N_+ 
tìu	t i_1 u
tí	t i_4
tía	t i@_4
tích	t i_4 k_+ 
tím	t i_4 m
tín	t i_4 n
tính	t i_4 N_+ 
típ	t i_4 p
tít	t i_4 t
tíu	t i_4 u
tò	t O_1
tòi	t O_1 i
tòm	t O_1 m
tòn	t O_1 n
tòng	t O_1 Nm 
tó	t O_4
tóc	t kp_4 kp 
tói	t O_4 i
tóm	t O_4 m
tón	t O_4 n
tóng	t O_X_4 Nm 
tóp	t O_4 p
tót	t O_4 t
tô	t o_0
tôi	t o_0 i
tôm	t o_0 m
tôn	t o_0 n
tông	t o_0 Nm 
tõ	t O_3
tõi	t O_3 i
tõm	t O_3 m
tõn	t O_3 n
tõng	t O_3 Nm 
tù	t u_1
tùa	t u@_1
tùi	t u_1 i
tùm	t u_1 m
tùn	t u_1 n
tùng	t u_1 Nm 
tú	t u_4
túa	t u@_4
túc	t u_4 kp 
túi	t u_4 i
túm	t u_4 m
tún	t u_4 n
túng	t u_4 Nm 
túp	t u_4 p
tút	t u_4 t
tý	t i_4
tĩ	t i_3
tũ	t u_3
tơ	t 7_0
tư	t M_0
tạ	t a_5
tả	t a_2
tẹ	t E_5
tẻ	t E_2
tẽ	t E_3
tế	t e_4
tề	t e_1
tể	t e_2
tễ	t e_3
tệ	t e_5
tỉ	t i_2
tị	t i_5
tọ	t O_5
tỏ	t O_2
tố	t o_4
tồ	t o_1
tổ	t o_2
tỗ	t o_3
tộ	t o_5
tớ	t 7_4
tờ	t 7_1
tở	t 7_2
tỡ	t 7_3
tợ	t 7_5
tụ	t u_5
tủ	t u_2
tứ	t M_4
từ	t M_1
tử	t M_2
tữ	t M_3
tự	t M_5
tỳ	t i_1
tỵ	t i_5
tỷ	t i_2
tỹ	t i_3
tĩa	t i@_3
tũa	t u@_3
tưa	t M@_0
tỉa	t i@_2
tịa	t i@_5
tụa	t u@_5
tủa	t u@_2
tứa	t M@_4
từa	t M@_1
tửa	t M@_2
tữa	t M@_3
tựa	t M@_5
tạc	t a_5 k
tấc	t 7_X_4 k
tậc	t 7_X_5 k
tắc	t a_X_4 k
tặc	t a_X_5 k
tẹc	t E_5 k
tọc	t kp_5 kp 
tốc	t o_4 kp 
tộc	t o_5 kp 
tục	t u_5 kp 
tức	t M_4 k
tực	t M_5 k
tạch	t a_5 k_+ 
tếch	t e_4 k_+ 
tệch	t e_5 k_+ 
tịch	t i_5 k_+ 
tũi	t u_3 i
tơi	t 7_0 i
tưi	t M_0 i
tại	t a_5 i
tải	t a_2 i
tọi	t O_5 i
tỏi	t O_2 i
tối	t o_4 i
tồi	t o_1 i
tổi	t o_2 i
tỗi	t o_3 i
tội	t o_5 i
tới	t 7_4 i
tời	t 7_1 i
tởi	t 7_2 i
tỡi	t 7_3 i
tợi	t 7_5 i
tụi	t u_5 i
tủi	t u_2 i
tứi	t M_4 i
từi	t M_1 i
tửi	t M_2 i
tữi	t M_3 i
tựi	t M_5 i
tăm	t a_X_0 m
tĩm	t i_3 m
tũm	t u_3 m
tơm	t 7_0 m
tưm	t M_0 m
tạm	t a_5 m
tảm	t a_2 m
tấm	t 7_X_4 m
tầm	t 7_X_1 m
tẩm	t 7_X_2 m
tẫm	t 7_X_3 m
tậm	t 7_X_5 m
tắm	t a_X_4 m
tằm	t a_X_1 m
tẳm	t a_X_2 m
tẵm	t a_X_3 m
tặm	t a_X_5 m
tẹm	t E_5 m
tẻm	t E_2 m
tẽm	t E_3 m
tếm	t e_4 m
tềm	t e_1 m
tểm	t e_2 m
tễm	t e_3 m
tệm	t e_5 m
tỉm	t i_2 m
tịm	t i_5 m
tọm	t O_5 m
tỏm	t O_2 m
tốm	t o_4 m
tồm	t o_1 m
tổm	t o_2 m
tỗm	t o_3 m
tộm	t o_5 m
tớm	t 7_4 m
tờm	t 7_1 m
tởm	t 7_2 m
